hhid,commid,wave,region,urban_rural,hh_size,dwelling_size,drinking_water_source,pay_for_drinking_water,toilet,bicycle,motorcycle,car,bw_tv,color_tv,washing_machine,refrigerator,air_conditioner,sewing_machine,electric_fan,wall_clock,camera,microwave,electric_cooking_pot,pressure_cooker,computer,telephone,dvd,cellphone,satellite_dish
111103001,111103,2011,11,urban,,75,house_tap,1,1,0,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111103002,111103,2011,11,urban,,75,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,0
111103003,111103,2011,11,urban,,55,house_tap,1,1,0,0,0,,1,1,1,1,1,0,,1,1,1,1,1,1,0,1,0
111103004,111103,2011,11,urban,,46,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,0,1,1,0,0,1,1,1,0
111103005,111103,2011,11,urban,,50,house_tap,1,0,1,0,0,,1,1,1,1,0,0,,0,0,0,0,1,1,0,1,0
111103006,111103,2011,11,urban,,45,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111103007,111103,2011,11,urban,,45,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,0
111103008,111103,2011,11,urban,,44,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,0,1,1,1,1,1,1,1,0
111103009,111103,2011,11,urban,,49,house_tap,1,1,1,0,0,,1,1,1,1,0,0,,0,1,0,0,0,1,0,1,0
111103010,111103,2011,11,urban,,89,house_tap,1,1,1,0,0,,1,1,1,1,0,0,,1,1,1,1,1,1,0,1,0
111103011,111103,2011,11,urban,,83,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,0,1,1,1,0,1,0,1,0
111103012,111103,2011,11,urban,,45,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,0,1,1,1,1,1,1,0
111103013,111103,2011,11,urban,,50,yard_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,0,1,1,1,0
111103014,111103,2011,11,urban,,50,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
111103015,111103,2011,11,urban,,87,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,0,1,1,0,0,1,0,1,0
111103016,111103,2011,11,urban,,86,house_tap,1,1,1,1,1,,1,1,1,1,0,0,,1,1,1,1,1,1,0,1,0
111103017,111103,2011,11,urban,,75,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111103018,111103,2011,11,urban,,73,house_tap,1,1,1,0,0,,1,1,1,1,0,0,,1,0,1,1,1,1,0,1,0
111103019,111103,2011,11,urban,,41,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
111103020,111103,2011,11,urban,,70,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,0,1,1,1,1,0
111104001,111104,2011,11,urban,,54,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
111104002,111104,2011,11,urban,,67,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,0,1,1,1,0,1,0,1,0
111104003,111104,2011,11,urban,,93,house_tap,0,1,1,1,1,,1,1,1,1,0,1,,0,1,1,1,1,1,1,1,0
111104004,111104,2011,11,urban,,60,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
111104005,111104,2011,11,urban,,50,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111104006,111104,2011,11,urban,,28,yard_tap,0,0,1,0,1,,1,1,1,1,0,1,,1,1,1,0,1,1,1,1,0
111104007,111104,2011,11,urban,,60,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,0,1,1,1,1,0
111104008,111104,2011,11,urban,,70,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,0,0,1,1,1,1,1,1,0
111104009,111104,2011,11,urban,,80,house_tap,1,1,0,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111104010,111104,2011,11,urban,,30,yard_tap,1,0,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
111104011,111104,2011,11,urban,,60,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111104012,111104,2011,11,urban,,72,house_tap,1,1,0,1,1,,1,1,1,0,0,1,,0,1,1,1,1,1,1,1,0
111104013,111104,2011,11,urban,,24,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111104014,111104,2011,11,urban,,20,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,0,1,0,0,1,1,1,1,0
111104015,111104,2011,11,urban,,7,house_tap,1,0,1,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111104016,111104,2011,11,urban,,70,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,0,1,1,1,1,0
111104017,111104,2011,11,urban,,45,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,1,1,0,1,1,0
111104018,111104,2011,11,urban,,45,house_tap,1,1,0,0,1,,1,1,1,1,0,0,,1,0,1,0,1,1,0,1,0
111104019,111104,2011,11,urban,,17,house_tap,0,0,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111104020,111104,2011,11,urban,,41,house_tap,1,1,1,0,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
111201001,111201,2011,11,urban,,60,house_tap,1,1,0,0,0,,1,1,1,0,0,1,,0,0,1,1,0,1,0,1,0
111201002,111201,2011,11,urban,,60,house_tap,1,1,1,0,1,,1,1,1,1,0,0,,0,1,1,1,1,1,1,1,0
111201003,111201,2011,11,urban,,120,house_tap,0,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1
111201004,111201,2011,11,urban,,30,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,0,1,0,1,0,1,1,0
111201005,111201,2011,11,urban,,56,house_tap,1,1,0,0,0,,1,1,1,1,1,0,,0,1,1,0,0,1,0,1,0
111201006,111201,2011,11,urban,,15,house_tap,1,1,1,0,0,,0,0,0,0,0,1,,0,1,1,0,1,0,0,1,0
111201007,111201,2011,11,urban,,40,house_tap,0,0,1,0,0,,1,1,1,1,0,0,,0,1,1,0,1,0,1,1,0
111201008,111201,2011,11,urban,,100,house_tap,1,1,1,0,1,,1,1,1,1,1,1,,1,1,1,1,0,1,1,1,0
111201009,111201,2011,11,urban,,80,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
111201010,111201,2011,11,urban,,70,house_tap,1,1,0,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111201011,111201,2011,11,urban,,72,house_tap,1,1,0,0,1,,1,1,1,1,0,0,,1,1,1,0,1,1,1,1,0
111201012,111201,2011,11,urban,,56,house_tap,1,1,1,1,1,,1,1,1,1,1,1,,0,1,1,1,0,1,1,1,0
111201013,111201,2011,11,urban,,75,house_tap,1,1,0,0,1,,1,1,1,1,0,0,,1,1,1,0,1,1,0,1,0
111201014,111201,2011,11,urban,,40,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,0,1,1,1,0
111201015,111201,2011,11,urban,,89,house_tap,1,1,1,0,0,,1,1,1,1,0,0,,1,1,1,1,1,1,1,1,0
111201016,111201,2011,11,urban,,40,yard_tap,1,0,1,0,1,,1,1,1,1,0,0,,1,1,1,1,1,1,1,1,0
111201017,111201,2011,11,urban,,79,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,0,0,1,0,0,1,0,1,0
111201018,111201,2011,11,urban,,,house_tap,1,1,0,0,0,,1,1,1,1,0,0,,0,1,1,1,1,0,0,1,0
111201019,111201,2011,11,urban,,70,house_tap,1,1,1,0,0,,1,1,1,1,0,0,,1,1,1,1,1,1,1,1,0
111201020,111201,2011,11,urban,,56,house_tap,1,1,0,0,1,,1,1,1,1,0,0,,1,1,1,0,0,1,0,1,0
111202001,111202,2011,11,urban,,45,house_tap,1,1,0,0,0,,1,1,1,1,1,0,,1,0,0,1,1,1,0,1,0
111202002,111202,2011,11,urban,,60,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,0,1,1,0,1,0,0,0
111202003,111202,2011,11,urban,,72,house_tap,1,1,0,0,0,,1,1,1,1,0,1,,0,1,1,1,0,1,0,1,0
111202004,111202,2011,11,urban,,176,house_tap,1,1,0,0,1,,1,1,1,1,0,0,,1,1,1,1,1,1,1,1,0
111202005,111202,2011,11,urban,,48,house_tap,1,0,1,0,0,,1,1,1,1,0,1,,1,1,1,1,0,1,1,1,0
111202006,111202,2011,11,urban,,83,house_tap,1,0,1,0,0,,1,1,1,1,0,0,,1,1,1,1,1,1,0,1,0
111202007,111202,2011,11,urban,,46,house_tap,1,0,1,0,0,,1,1,1,1,1,1,,0,0,1,1,0,1,0,0,0
111202008,111202,2011,11,urban,,70,house_tap,1,0,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111202009,111202,2011,11,urban,,118,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,0,0
111202010,111202,2011,11,urban,,68,house_tap,1,1,0,0,0,,1,1,1,1,0,1,,1,1,1,1,0,1,1,1,0
111202011,111202,2011,11,urban,,67,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,0
111202012,111202,2011,11,urban,,68,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
111202013,111202,2011,11,urban,,80,house_tap,1,1,1,0,1,,1,1,1,1,0,0,,1,1,1,1,1,0,0,1,0
111202014,111202,2011,11,urban,,74,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111202015,111202,2011,11,urban,,74,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111202016,111202,2011,11,urban,,50,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111202017,111202,2011,11,urban,,60,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,0,1,1,1,1,1,1,1,0
111202018,111202,2011,11,urban,,79,house_tap,1,1,0,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111202019,111202,2011,11,urban,,74,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111202020,111202,2011,11,urban,,65,house_tap,1,1,0,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,0
111203001,111203,2011,11,urban,,50,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
111203002,111203,2011,11,urban,,65,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111203003,111203,2011,11,urban,,82,house_tap,1,1,1,1,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
111203004,111203,2011,11,urban,,81,other,1,1,1,0,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
111203005,111203,2011,11,urban,,25,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,0,0,1,0
111203006,111203,2011,11,urban,,64,house_tap,1,0,1,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111203007,111203,2011,11,urban,,45,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1
111203008,111203,2011,11,urban,,73,house_tap,1,1,1,1,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
111203009,111203,2011,11,urban,,624,house_tap,1,1,0,0,0,,1,1,1,1,0,0,,1,1,1,1,0,1,1,1,0
111203010,111203,2011,11,urban,,60,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111203011,111203,2011,11,urban,,54,house_tap,1,1,0,0,0,,1,1,1,1,0,0,,1,1,1,1,1,1,0,1,0
111203012,111203,2011,11,urban,,55,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111203013,111203,2011,11,urban,,696,house_tap,1,0,0,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,0
111203014,111203,2011,11,urban,,70,house_tap,1,1,0,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,0
111203015,111203,2011,11,urban,,50,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,0,1,1,1,1,0
111203016,111203,2011,11,urban,,659,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,0,0,1,1,1,0
111203017,111203,2011,11,urban,,79,house_tap,1,1,1,0,0,,1,1,1,1,0,0,,1,1,1,1,1,1,1,1,0
111203018,111203,2011,11,urban,,,house_tap,1,1,0,0,0,,1,1,1,1,0,0,,1,1,1,1,1,1,1,1,0
111203019,111203,2011,11,urban,,20,house_tap,1,0,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111203020,111203,2011,11,urban,,14,yard_tap,1,0,0,0,0,,1,1,1,1,0,1,,0,1,1,1,1,1,0,1,1
111204001,111204,2011,11,urban,,60,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,0,1,1,1,0,1,1,1,0
111204002,111204,2011,11,urban,,60,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,0,1,1,1,1,0
111204003,111204,2011,11,urban,,70,house_tap,1,1,0,0,0,,1,1,1,1,0,1,,1,1,1,1,0,1,1,1,1
111204004,111204,2011,11,urban,,70,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,0
111204005,111204,2011,11,urban,,60,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111204006,111204,2011,11,urban,,80,house_tap,1,1,0,0,0,,1,1,1,1,0,0,,1,0,0,1,0,1,0,0,0
111204007,111204,2011,11,urban,,70,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,0,1,1,1,0
111204008,111204,2011,11,urban,,70,house_tap,1,1,0,0,0,,1,1,1,1,0,0,,1,1,1,1,0,1,0,1,0
111204009,111204,2011,11,urban,,56,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,0,1,1,1,0
111204010,111204,2011,11,urban,,56,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,0,1,0,1,0
111204011,111204,2011,11,urban,,100,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111204012,111204,2011,11,urban,,60,house_tap,1,1,0,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111204013,111204,2011,11,urban,,80,house_tap,1,1,0,0,1,,1,1,1,1,0,0,,1,1,0,1,1,0,0,1,0
111204014,111204,2011,11,urban,,66,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,0,1,1,1,1,1,0,1,0
111204015,111204,2011,11,urban,,60,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111204016,111204,2011,11,urban,,100,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,0
111204017,111204,2011,11,urban,,90,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
111204018,111204,2011,11,urban,,60,house_tap,1,1,0,0,0,,1,1,1,1,0,0,,1,1,1,1,0,0,0,1,0
111204019,111204,2011,11,urban,,60,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111204020,111204,2011,11,urban,,70,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,0
111301001,111301,2011,11,urban,,54,house_tap,1,1,0,0,1,,1,1,1,1,0,1,,1,0,1,1,1,0,1,1,0
111301002,111301,2011,11,urban,,99,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,0,1,0,1,1,1,1,1,0
111301003,111301,2011,11,urban,,105,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,0
111301004,111301,2011,11,urban,,130,house_tap,1,1,0,0,1,,1,1,1,1,0,1,,1,1,1,1,0,1,1,1,0
111301005,111301,2011,11,urban,,69,house_tap,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,1,0,1,0,0,0
111301006,111301,2011,11,urban,,47,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
111301007,111301,2011,11,urban,,50,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,0,1,0,0,0,1,1,1,0
111301008,111301,2011,11,urban,,90,house_tap,1,1,0,0,0,,1,1,1,1,0,1,,0,1,1,1,0,1,0,1,1
111301009,111301,2011,11,urban,,61,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1
111301010,111301,2011,11,urban,,57,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,0,1,1,1,0
111301011,111301,2011,11,urban,,40,house_tap,1,1,0,0,1,,1,1,1,1,0,1,,0,1,1,0,1,0,0,1,0
111301012,111301,2011,11,urban,,65,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,0
111301013,111301,2011,11,urban,,45,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,0,1,1,1,1,0
111301014,111301,2011,11,urban,,75,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,0
111301015,111301,2011,11,urban,,68,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,0,0,1,1,0,1,0,0,0
111301016,111301,2011,11,urban,,53,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,0,1,0,1,1,1,1,0
111301017,111301,2011,11,urban,,57,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
111301018,111301,2011,11,urban,,110,house_tap,1,1,0,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,0
111301019,111301,2011,11,urban,,44,house_tap,1,1,1,0,0,,1,1,1,0,1,1,,0,1,1,1,1,1,1,1,0
111301020,111301,2011,11,urban,,52,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111302001,111302,2011,11,urban,,60,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,0,1,1,0,0,0,0,1,0
111302002,111302,2011,11,urban,,64,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,0,1,1,1,1,0,1,0
111302003,111302,2011,11,urban,,81,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,0,1,0,1,0
111302004,111302,2011,11,urban,,68,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111302005,111302,2011,11,urban,,90,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,0,0,1,0
111302006,111302,2011,11,urban,,85,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111302007,111302,2011,11,urban,,68,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
111302008,111302,2011,11,urban,,82,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,0,1,1,1,1,1,1
111302009,111302,2011,11,urban,,80,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111302010,111302,2011,11,urban,,80,house_tap,1,1,0,0,0,,1,1,1,1,1,1,,1,1,1,1,0,1,0,1,0
111302011,111302,2011,11,urban,,64,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,0
111302012,111302,2011,11,urban,,60,house_tap,1,1,1,0,0,,1,1,1,1,0,0,,1,1,1,0,1,1,1,1,0
111302013,111302,2011,11,urban,,58,house_tap,1,1,0,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111302014,111302,2011,11,urban,,139,house_tap,1,1,1,1,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
111302015,111302,2011,11,urban,,140,house_tap,1,1,0,0,0,,1,1,1,1,0,0,,1,1,1,1,0,1,1,1,0
111302016,111302,2011,11,urban,,50,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111302017,111302,2011,11,urban,,69,house_tap,1,1,0,0,0,,1,1,0,0,0,0,,0,0,1,1,1,1,0,1,0
111302018,111302,2011,11,urban,,60,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,0,1,1,0
111302019,111302,2011,11,urban,,70,house_tap,1,1,0,0,1,,1,1,1,1,0,1,,1,1,1,0,1,1,1,1,0
111302020,111302,2011,11,urban,,47,house_tap,1,1,1,0,0,,1,1,1,1,0,0,,1,1,1,1,1,1,1,1,0
111303001,111303,2011,11,urban,,62,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,0,1,1,0
111303002,111303,2011,11,urban,,60,house_tap,1,1,0,0,0,,1,1,1,1,0,1,,1,1,1,1,0,1,1,1,0
111303003,111303,2011,11,urban,,70,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
111303004,111303,2011,11,urban,,60,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,0,1,1,0,1,1,1,1,0
111303005,111303,2011,11,urban,,61,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,0
111303006,111303,2011,11,urban,,65,house_tap,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,1,1,0,0,1,0
111303007,111303,2011,11,urban,,50,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,0
111303008,111303,2011,11,urban,,60,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111303009,111303,2011,11,urban,,78,house_tap,1,1,0,0,0,,1,1,1,1,0,0,,0,0,0,0,0,1,0,0,0
111303010,111303,2011,11,urban,,65,house_tap,1,1,1,0,0,,1,0,1,1,1,1,,1,0,1,1,0,1,1,1,0
